name,Add to List,Social,Format,Episodes,Episode Duration,Status,Season,Average Score,Mean Score,Popularity,Favorites,Studios,Producers,Source,Hashtag,Genres,Romaji,English,Native,Synonyms,Tags,External & Streaming links,Relations,Characters,Staff,Status Distribution,Score Distribution,Trailer,Recommendations
Kimetsu no Yaiba: Yuukaku-hen,"['Kimetsu no Yaiba: Yuukaku-hen', 'After visiting the Rengoku residence, Tanjirou and his comrades volunteer for a mission within the Entertainment District, a place where desires are sold and demons dwell. They journey alongside the flashy Sound Hashira, Tengen Uzui, in search of a monstrous foe terrorizing the town. Sworn to slay creatures of the night, the hunt continues.', '', '(Source: Funimation)', '', 'Note:', '- The first episode aired with a runtime of ~47 minutes.', '- The last episode aired with a runtime of ~33 minutes.']","['#21 Highest Rated All Time', '#93 Most Popular All Time']",['TV'],['11'],['24 mins'],['Finished'],['Winter 2022'],['87%'],['87%'],['224222'],['11187'],['ufotable'],"['Aniplex', 'Shueisha']",['Manga'],['#鬼滅の刃'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural']",['Kimetsu no Yaiba: Yuukaku-hen'],['Demon Slayer: Kimetsu no Yaiba Entertainment District Arc'],['鬼滅の刃 遊郭編'],"['KnY 2', 'Demon Slayer: Kimetsu no Yaiba - Le quartier des plaisirs', 'ดาบพิฆาตอสูร ภาค 2 บทย่านเริงรมย์']","['Demons', '97%', 'Swordplay', '93%', 'Shounen', '92%', 'Male Protagonist', '87%', 'Oiran', '80%', 'Gore', '71%', 'Super Power', '71%', 'Primarily Teen Cast', '70%', 'Primarily Male Cast', '66%', 'Ninja', '64%', 'Historical', '64%', 'Body Horror', '63%', 'Urban', '60%', 'Tragedy', '57%', 'Monster Girl', '56%', 'Orphan', '53%', 'CGI', '52%', 'Female Harem', '47%', 'Show 3 spoiler tags']","['Official Site JP', 'Twitter JP', 'Twitter', 'Twitter FR', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'Hulu', 'Netflix', 'VRV', 'Wakanim', 'iQ', '', '', '', '', '', '']","['Source', 'Kimetsu no Yaiba', 'Manga · Finished', 'Prequel', 'Kimetsu no Yaiba: Mugen Ressha-hen (TV)', 'TV · Finished', 'Prequel', 'Kimetsu no Yaiba: Mugen Ressha-hen', 'Movie · Finished', 'Sequel', 'Kimetsu no Yaiba: Katanakaji no Sato-hen', 'TV · Not Yet Released']","['Tanjirou Kamado', 'Main', 'Natsuki Hanae', 'Japanese', 'Nezuko Kamado', 'Main', 'Akari Kitou', 'Japanese', 'Inosuke Hashibira', 'Main', 'Yoshitsugu Matsuoka', 'Japanese', 'Zenitsu Agatsuma', 'Main', 'Hiro Shimono', 'Japanese', 'Tengen Uzui', 'Main', 'Katsuyuki Konishi', 'Japanese', 'Muzan Kibutsuji', 'Supporting', 'Toshihiko Seki', 'Japanese']","['Koyoharu Gotouge', 'Original Creator', 'Haruo Sotozaki', 'Director', 'Akira Matsushima', 'Character Design', 'Youko Kajiyama', 'Sub Character Design']","['Completed', '176809 Users', 'Current', '22274 Users', 'Planning', '22183 Users', 'Paused', '2096 Users']",[],,
Shingeki no Kyojin: The Final Season Part 2,"['Shingeki no Kyojin: The Final Season Part 2', 'The war for Paradis zeroes in on Shiganshina just as Jaegerists have seized control. After taking a huge blow from a surprise attack led by Eren, Marley swiftly acts to return the favor. With Zeke’s true plan revealed and a military forced under new rule, this battle might be fought on two fronts. Does Eren intend on fulfilling his half-brother’s wishes or does he have a plan of his own?', '', '(Source: Funimation)']","['#29 Highest Rated All Time', '#95 Most Popular All Time']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['86%'],['86%'],['222319'],['9661'],['MAPPA'],"['Pony Canyon', 'Kodansha', 'Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon Enterprise']",['Manga'],['#shingeki'],"['Action', 'Drama', 'Fantasy', 'Mystery', 'Psychological']",['Shingeki no Kyojin: The Final Season Part 2'],['Attack on Titan Final Season Part 2'],['進撃の巨人 The Final Season Part 2'],"['SnK 4', 'AoT 4', ""L'attaque des titans Saison Finale Partie 2"", 'Shingeki no Kyojin: The Final Season (2022)', 'Atak Tytanów Sezon 4 Część 2', 'Atak Tytanów Finał Część 2', 'اتک عن تایتان', 'حمله به غول ها', 'حمله به تایتان فصل 4', 'ผ่าพิภพไททัน ไฟนอล ซีซั่น Part 2', 'ผ่าพิภพไททัน ภาค 4', ""L'Attacco dei Giganti 4 Parte 2""]","['Military', '90%', 'Survival', '88%', 'Kaiju', '83%', 'Philosophy', '83%', 'Male Protagonist', '79%', 'Gore', '77%', 'Primarily Adult Cast', '69%', 'Ensemble Cast', '67%', 'CGI', '61%', 'Shounen', '60%', 'Female Protagonist', '60%', 'Guns', '55%', 'Kuudere', '43%', 'Show 11 spoiler tags']","['Official Site JP', 'Instagram JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Crunchyroll (Dubbed)', 'Funimation', 'Hulu', 'Netflix', 'VRV', '', '']","['Source', 'Shingeki no Kyojin', 'Manga · Finished', 'Prequel', 'Shingeki no Kyojin: The Final Season', 'TV · Finished', 'Sequel', 'Shingeki no Kyojin: The Final Season - Kanketsu-hen Part 1', 'TV · Not Yet Released']","['Eren Yeager', 'Main', 'Yuuki Kaji', 'Japanese', 'Mikasa Ackerman', 'Main', 'Yui Ishikawa', 'Japanese', 'Armin Arlert', 'Main', 'Marina Inoue', 'Japanese', 'Gabi Braun', 'Main', 'Ayane Sakura', 'Japanese', 'Falco Grice', 'Main', 'Natsuki Hanae', 'Japanese', 'Zeke', 'Main', 'Takehito Koyasu', 'Japanese']","['Hajime Isayama', 'Original Creator', 'Yuuichirou Hayashi', 'Director', 'Hiroshi Seko', 'Series Composition', 'Tomohiro Kishi', 'Character Design']","['Completed', '132706 Users', 'Planning', '46519 Users', 'Current', '35690 Users', 'Paused', '4972 Users']","['Watch', 'Episode 1 - To You, 2,000 Years in the Future -The Fall of Zhiganshina (1)', 'Episode 2 - That Day - The Fall of Zhiganshina (2)', 'Episode 3 - A Dim Light in the Darkness of Despair - Humanity Rises Again (1)', 'Episode 4 - Night of the Graduation Ceremony - Humanity Rises Again (2)', 'Threads', 'No forum threads yet, create one?', 'Reviews', 'I already knew this was going to be one of the worst anime of 2022; I just wanted to witness this trainwreck unfold.', '387', ""Fumbling, Fumbling, it's coming! Fumbling, Fumbling! Beware! Coming for you!"", '200', 'External & Streaming links', 'Official Site JP', 'Instagram JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Crunchyroll (Dubbed)', 'Funimation', 'Hulu', 'Netflix', 'VRV', 'Tags', 'Military', '90%', 'Survival', '88%', 'Kaiju', '83%', 'Philosophy', '83%', 'Male Protagonist', '79%', 'Gore', '77%', 'Primarily Adult Cast', '69%', 'Ensemble Cast', '67%', 'CGI', '61%', 'Shounen', '60%', 'Female Protagonist', '60%', 'Guns', '55%', 'Kuudere', '43%', 'Show 11 spoiler tags', 'Site Theme', 'A A A A', 'Donate', 'AniList.co', 'AniChart.net', 'Apps', 'Site Stats']",,
Sono Bisque Doll wa Koi wo Suru,"['Sono Bisque Doll wa Koi wo Suru', 'High schooler Wakana Gojou cares about one thing: making Hina dolls. With nobody to share his obsession, he has trouble finding friends—or even holding conversation. But after the school’s most popular girl, Marin Kitagawa, reveals a secret of her own, he discovers a new purpose for his sewing skills. Together, they’ll make her cosplay dreams come true!', '', '(Source: Funimation)']","['#148 Highest Rated All Time', '#120 Most Popular All Time']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['82%'],['82%'],['187867'],['10638'],['CloverWorks'],"['Aniplex', 'Square Enix', 'Movic', 'TOKYO MX', 'BS11', 'Studio Mausu']",['Manga'],['#着せ恋 #kisekoi'],"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']",['Sono Bisque Doll wa Koi wo Suru'],['My Dress-Up Darling'],['その着せ替え人形は恋をする'],"['Sono Kisekae Ningyou wa Koi wo suru', 'หนุ่มเย็บผ้ากับสาวนักคอสเพลย์', 'その着せ替え人形（ビスク・ドール）は恋をする', 'kisekoi', 'Si Boneka Rias Sedang Jatuh Cinta', 'Projekt: cosplay']","['Cosplay', '98%', 'Otaku Culture', '91%', 'Fashion', '90%', 'Male Protagonist', '88%', 'Primarily Teen Cast', '85%', 'Heterosexual', '85%', 'Female Protagonist', '85%', 'Gyaru', '84%', 'Makeup', '78%', 'Seinen', '70%', 'Photography', '65%', 'Slapstick', '50%', 'Feet', '48%', 'School', '45%', 'Nudity', '45%', 'Coming of Age', '34%', 'Tanned Skin', '28%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'VRV', 'Wakanim', '', '']","['Source', 'Sono Bisque Doll wa Koi wo Suru', 'Manga · Releasing', 'Sequel', 'Sono Bisque Doll wa Koi wo Suru (Zoku-hen)', '· Not Yet Released']","['Marin Kitagawa', 'Main', 'Hina Suguta', 'Japanese', 'Wakana Gojou', 'Main', 'Shouya Ishige', 'Japanese', 'Kaoru Gojou', 'Supporting', 'Atsushi Ono', 'Japanese', 'Sajuna Inui', 'Supporting', 'Atsumi Tanezaki', 'Japanese', 'Shinju Inui', 'Supporting', 'Hina Youmiya', 'Japanese', 'Nobara', 'Supporting', 'Mai Kanno', 'Japanese']","['Shinichi Fukuda', 'Original Creator', 'Keisuke Shinohara', 'Director', 'Yoshihiro Hiramine', 'Assistant Director', 'Yoriko Tomita', 'Series Composition']","['Completed', '123262 Users', 'Planning', '33005 Users', 'Current', '23124 Users', 'Dropped', '4946 Users']",[],,
Arifureta Shokugyou de Sekai Saikyou 2nd Season,"['Arifureta Shokugyou de Sekai Saikyou 2nd Season', 'The second season of Arifureta Shokugyou de Sekai Saikyou.', '', ""Transported to another world and left behind by his former friends, Hajime had to make his rise from literal rock bottom. It was in the labyrinth where he strengthened his weak magic and found several beautiful allies. Now after saving his classmates, he ventures for Erisen to escort Myuu and her mother. He'll fight and defeat anyone he has to in order to find a way home—including a god!"", '', '(Source: Funimation)']","['#67 Highest Rated 2022', '#25 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['71%'],['71%'],['65426'],['1912'],"['Asread', 'studio MOTHER']","['OVERLAP', 'Hakuhodo DY Music & Pictures', 'FuRyu', 'AT-X', 'Sony Music Solutions', 'Toranoana', 'Bandai Namco Arts', 'Bushiroad']",['Light Novel'],['#ありふれた #ARIFURETA'],"['Action', 'Adventure', 'Fantasy', 'Psychological']",['Arifureta Shokugyou de Sekai Saikyou 2nd Season'],"[""Arifureta: From Commonplace to World's Strongest Season 2""]",['ありふれた職業で世界最強 2nd season'],"['อาชีพกระจอกแล้วทำไม ยังไงข้าก็เทพ ภาค 2', ""ARIFURETA: from commonplace to world's strongest second season""]","['Isekai', '95%', 'Anti-Hero', '91%', 'Female Harem', '85%', 'Male Protagonist', '85%', 'Magic', '82%', 'Dungeon', '81%', 'Guns', '73%', 'Demons', '72%', 'Primarily Female Cast', '70%', 'Monster Girl', '67%', 'Vampire', '65%', 'CGI', '64%', 'Primarily Teen Cast', '60%', 'Satire', '58%', 'Kemonomimi', '53%', 'Slavery', '36%', 'Cosmic Horror', '26%', 'Show 5 spoiler tags']","['Official Site JP', 'Twitter JP', 'Twitter', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'Hulu', 'Wakanim', '', '', '', '']","['Source', 'Arifureta Shokugyou de Sekai Saikyou', 'Light Novel · Finished', 'Prequel', 'Arifureta Shokugyou de Sekai Saikyou', 'TV · Finished', 'Sequel', 'Arifureta Shokugyou de Sekai Saikyou 2nd Season Special', 'Special · Finished', 'Alternative', 'Arifureta Shokugyou de Sekai Saikyou', 'Manga · Releasing', 'Side Story', 'Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou', 'OVA · Finished']","['Hajime Nagumo', 'Main', 'Toshinari Fukamachi', 'Japanese', 'Yue', 'Main', 'Yuuki Kuwahara', 'Japanese', 'Shia Haulia', 'Main', 'Minami Takahashi', 'Japanese', 'Kaori Shirasaki', 'Main', 'Saori Oonishi', 'Japanese', 'Tio Klarus', 'Main', 'Youko Hikasa', 'Japanese', 'Myuu', 'Supporting', 'Yui Ogura', 'Japanese']","['Ryou Shirakome', 'Original Story', 'TakayaKi', 'Original Character Design', 'Akira Iwanaga', 'Director', 'Shouichi Satou', 'Series Composition']","['Completed', '29948 Users', 'Planning', '22875 Users', 'Current', '8532 Users', 'Dropped', '2377 Users']",[],,
Vanitas no Carte Part 2,"['Vanitas no Carte Part 2', 'The second cour of Vanitas no Carte.', '', 'It’s 19th-century Paris, and young vampire Noé hunts for the Book of Vanitas. Attacked by a vampire driven insane, a human doctor called Vanitas tempts Noé with a mad crusade to “cure” the entire vampire race. While allying with him may be dangerous, news reaches Vanitas that the Beast of Gévaudan has returned, and Noé is being brought along to investigate this phantom from the past.', '', '(Source: Funimation)']","['#163 Highest Rated All Time', '#18 Highest Rated 2022']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['81%'],['81%'],['55484'],['1756'],['bones'],"['Aniplex', 'Hakuhodo DY Music & Pictures', 'Square Enix', 'Contents Seed']",['Manga'],['#ヴァニタス'],"['Action', 'Drama', 'Fantasy', 'Mystery', 'Supernatural']",['Vanitas no Carte Part 2'],['The Case Study of Vanitas Part 2'],['ヴァニタスの手記 2クール'],"['บันทึกแวมไพร์วานิทัส พาร์ท 2', 'Vanitas no Karte (2022)']","['Vampire', '98%', 'Foreign', '92%', 'Male Protagonist', '92%', 'Primarily Adult Cast', '89%', 'Steampunk', '87%', 'Tragedy', '81%', 'Anti-Hero', '79%', 'Historical', '75%', 'Shounen', '65%', 'Heterosexual', '58%', 'Detective', '54%', 'Revenge', '33%', 'Show 6 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'VRV', 'Wakanim', 'iQ', '', '', '', '']","['Source', 'Vanitas no Carte', 'Manga · Hiatus', 'Prequel', 'Vanitas no Carte', 'TV · Finished']","['Vanitas', 'Main', 'Natsuki Hanae', 'Japanese', 'Noé Archiviste', 'Main', 'Kaito Ishikawa', 'Japanese', 'Jeanne', 'Supporting', 'Inori Minase', 'Japanese', 'Dominique de Sade', 'Supporting', 'Ai Kayano', 'Japanese', 'Roland Fortis', 'Supporting', 'Kengo Kawanishi', 'Japanese', 'Astolfo Granatum', 'Supporting', 'Ayumu Murase', 'Japanese']","['Jun Mochizuki', 'Original Creator', 'Tomoyuki Itamura', 'Director', 'Nao Miyoshi', 'Assistant Director', 'Hitomi Mieno', 'Series Composition']","['Completed', '26296 Users', 'Planning', '20380 Users', 'Current', '6439 Users', 'Paused', '1531 Users']",[],,
Tensai Ouji no Akaji Kokka Saisei Jutsu,"['Tensai Ouji no Akaji Kokka Saisei Jutsu', 'Once upon a time in a far away land there lived a prince, a genius prince. The genius prince fought alongside his people and led them to a great many triumphs. However, truth be told, he just wants to let everything go and live in tranquility.', '', '(Source: Funimation)']","['#57 Highest Rated 2022', '#31 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['72%'],['72%'],['52871'],['1160'],['Yokohama Animation Lab'],"['NBCUniversal Entertainment Japan', 'SB Creative', 'DMM pictures', 'TOKYO MX', 'BS Nippon', 'AT-X']",['Light Novel'],['#天才王子'],"['Comedy', 'Fantasy']",['Tensai Ouji no Akaji Kokka Saisei Jutsu'],"[""The Genius Prince's Guide to Raising a Nation Out of Debt""]",['天才王子の赤字国家再生術'],"['บูรณะมันวุ่นวาย ขายชาติเลยแล้วกัน', '天才王子的赤字国家振兴术', 'Kiat Pemulihan Negara Berutang Ala Pangeran Genius']","['Politics', '97%', 'Male Protagonist', '84%', 'Military', '83%', 'Economics', '81%', 'Female Harem', '52%', 'Religion', '47%', 'Nudity', '36%', 'Gore', '30%', 'Show 2 spoiler tags']","['Official Site JP', 'Twitter JP', 'Crunchyroll', 'Funimation', 'YouTube', '', '']","['Source', 'Tensai Ouji no Akaji Kokka Saisei Jutsu: Souda, Baikoku shiyou', 'Light Novel · Releasing', 'Alternative', 'Souda, Baikoku shiyou: Tensai Ouji no Akaji Kokka Saisei Jutsu', 'Manga · Releasing', 'Character', 'Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama', 'ONA · Finished', 'Character', 'Tensai Ouji no Akaji Kokka Saisei Jutsu: Short Drama Specials', 'Special · Finished']","['Wein Salema Arbalest', 'Main', 'Souma Saitou', 'Japanese', 'Ninym Ralei', 'Main', 'Rie Takahashi', 'Japanese', 'Fyshe Blundell', 'Supporting', 'Youko Hikasa', 'Japanese', 'Falanya Elk Arbalest', 'Supporting', 'Sayaka Senbongi', 'Japanese', 'Lowellmina Earthworld', 'Supporting', 'Nao Touyama', 'Japanese', 'Zeno', 'Supporting', 'Yuki Nakashima', 'Japanese']","['Tooru Toba', 'Original Story', 'Fal Maro', 'Original Character Design', 'Makoto Tamagawa', 'Director', 'Xinya Cai', 'Assistant Director']","['Completed', '26013 Users', 'Planning', '15796 Users', 'Current', '6809 Users', 'Dropped', '2706 Users']",[],,
Sabikui Bisco,"['Sabikui Bisco', 'Japan’s post-apocalyptic wasteland replete with dust can only be saved by one thing—fungus. Bisco Akaboshi, a wanted criminal and skilled archer, searches for a legendary mushroom, known as Sabikui, said to devour any and all rust. Joining him on this epic saga to save the country is a giant crab and a young doctor. Can this unlikely trio find the fabled fungi and save the land?', '', '(Source: Funimation)']","['#72 Highest Rated 2022', '#35 Most Popular 2022']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['71%'],['71%'],['50392'],['872'],"['OZ', 'NAZ']","['Hakuhodo DY Music & Pictures', 'KADOKAWA', 'flying DOG', 'Yomiuri TV', 'Frontier Works', 'BS11', 'Klock Worx', 'Bit Grooove Promotion']",['Light Novel'],['#錆喰いビスコ'],"['Action', 'Adventure', 'Fantasy']",['Sabikui Bisco'],['Sabikui Bisco'],['錆喰いビスコ'],"['Rust-Eater Bisco', 'บิสโก้ นรชนคนโคตรเห็ด', 'Bisco Si Pemakan Karat']","['Post-Apocalyptic', '95%', 'Male Protagonist', '85%', 'Medicine', '83%', 'Pandemic', '80%', 'Archery', '78%', 'Drugs', '76%', 'Cyberpunk', '66%', 'Kaiju', '55%', 'Guns', '49%', 'Animals', '48%', 'Motorcycles', '28%', 'Kids', '10%', 'Show 7 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'VRV', 'Wakanim', 'YouTube', 'iQ', '', '']","['Source', 'Sabikui Bisco', 'Light Novel · Releasing', 'Alternative', 'Sabikui Bisco', 'Manga · Finished', 'Alternative', 'Sabikui Bisco 2', 'Manga · Releasing']","['Bisco Akaboshi', 'Main', 'Ryouta Suzuki', 'Japanese', 'Milo Nekoyanagi', 'Main', 'Natsuki Hanae', 'Japanese', 'Paw Nekoyanagi', 'Supporting', 'Reina Kondou', 'Japanese', 'Tirol Oochagama', 'Supporting', 'Miyu Tomita', 'Japanese', 'Jabi', 'Supporting', 'Shirou Saitou', 'Japanese', 'Kurokawa', 'Supporting', 'Kenjirou Tsuda', 'Japanese']","['Shinji Cobkubo', 'Original Story', 'Akagishi K', 'Original Character Design', 'Atsushi Ikariya', 'Director', 'Daisuke Mataga', 'Assistant Director']","['Completed', '20528 Users', 'Planning', '17613 Users', 'Current', '6696 Users', 'Dropped', '3533 Users']","['Watch', 'Episode 8 - Fiendish Trap', 'Episode 7 - The Stolen Rust Eater', 'Episode 6 - Companions and Prey', ""Episode 5 - Children's Fortress""]",,
Shikkakumon no Saikyou Kenja,"['Shikkakumon no Saikyou Kenja', 'His strength limited by the magical crest with which he was born, Matthias, the world’s most powerful sage, decides reincarnation is necessary to become the strongest of all. Upon his rebirth as a young boy, Matthias is thrilled to discover he’s been born with the optimal crest for magical combat on his first try! Unfortunately, the world he’s been born into has abysmally poor standards when it comes to magic, and everyone thinks he’s still marked for failure! Now it’s up to Matthias to prove everyone wrong…world’s strongest sage-style!', '', '(Source: Crunchyroll)']","['#44 Most Popular 2022', '#23 Highest Rated Winter 2022']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['61%'],['61%'],['44114'],['758'],['J.C. Staff'],"['NBCUniversal Entertainment Japan', 'SB Creative', 'GREE', 'Square Enix', 'Sammy', 'Medicos Entertainment', 'Good Smile Film']",['Light Novel'],['#失格紋'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Slice of Life']",['Shikkakumon no Saikyou Kenja'],['The Strongest Sage with the Weakest Crest'],['失格紋の最強賢者'],"['ปราชญ์หนึ่งในใต้หล้ากับตราสุดอัปยศ', '失格纹的最强贤者']","['Reincarnation', '90%', 'Demons', '86%', 'Magic', '86%', 'Male Protagonist', '77%', 'Conspiracy', '65%', 'Heterosexual', '57%', 'Primarily Teen Cast', '55%', 'Dungeon', '54%', 'Swordplay', '53%', 'School', '53%', 'Female Harem', '52%', 'Show 3 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'VRV', 'YouTube', '', '']","['Source', 'Shikkakumon no Saikyou Kenja: Sekai Saikyou no Kenja ga Sarani Tsuyoku Naru Tame ni Tensei Shimashita', 'Light Novel · Releasing', 'Alternative', 'Shikkakumon no Saikyou Kenja: Sekai Saikyou no Kenja ga Sarani Tsuyoku Naru Tame ni Tensei Shimashita', 'Manga · Releasing']","['Lurie Abendroth', 'Main', 'Sayumi Suzushiro', 'Japanese', 'Matthias Hildesheimer', 'Main', 'Nina Tamaki', 'Japanese', 'Alma Lepucius', 'Main', 'Haruka Shiraishi', 'Japanese', 'Iris', 'Main', 'Shiori Izawa', 'Japanese', 'Zardias', 'Supporting', 'Takehito Koyasu', 'Japanese', 'Edwart', 'Supporting', 'Rikiya Koyama', 'Japanese']","['Shotou Shinkou', 'Original Story', 'Huuka Kazabana', 'Original Character Design', 'Noriaki Akitaya', 'Director', 'Masayuki Takahashi', 'Assistant Director']","['Completed', '24401 Users', 'Planning', '9074 Users', 'Current', '5755 Users', 'Dropped', '3922 Users']",[],,
Sasaki to Miyano,"['Sasaki to Miyano', 'Miyano spends his days reading Boys’ Love manga and worrying about the soft features of his face. His world of fiction becomes reality when a chance encounter leads him to high school senior Sasaki in the middle of a fight. Now, Sasaki wants to spend every opportunity he can to get to know Miyano. And what was once admiration quickly turns into affection.', '', '(Source: Funimation)']","['#141 Highest Rated All Time', '#15 Highest Rated 2022']",['TV'],['12'],['24 mins'],['Finished'],['Winter 2022'],['82%'],['82%'],['42430'],['2295'],['Studio DEEN'],"['KADOKAWA', 'Nippon Columbia', 'Movic', 'BS Nippon', 'U-NEXT', 'Frontier Works', 'Kadokawa Media House', 'TV Aichi']",['Manga'],['#佐々木と宮野'],"['Comedy', 'Romance', 'Slice of Life']",['Sasaki to Miyano'],['Sasaki and Miyano'],['佐々木と宮野'],"['ซาซากิกับมิยาโนะ', 'Sasaki i Miyano']","[""Boys' Love"", '96%', 'LGBTQ+ Themes', '94%', 'Male Protagonist', '91%', 'Primarily Teen Cast', '90%', 'Meta', '86%', 'School', '85%', 'Cute Boys Doing Cute Things', '82%', 'Otaku Culture', '81%', 'Primarily Male Cast', '80%', 'Shoujo', '76%', 'Iyashikei', '60%', 'Coming of Age', '53%', 'Chibi', '49%', 'Trains', '26%', 'Show 2 spoiler tags']","['Official Site JP', 'Instagram JP', 'Twitter JP', 'Crunchyroll', 'Crunchyroll', 'Funimation', 'YouTube', '', '']","['Source', 'Sasaki to Miyano', 'Manga · Releasing', 'Sequel', 'Sasaki to Miyano: Sotsugyou-hen', 'Movie · Not Yet Released', 'Side Story', 'Sasaki to Miyano: Koi ni Kizuku Mae no Chottoshita Hanashi.', 'OVA · Finished']","['Yoshikazu Miyano', 'Main', 'Souma Saitou', 'Japanese', 'Shuumei Sasaki', 'Main', 'Yuusuke Shirai', 'Japanese', 'Nao Makimura', 'Supporting', 'Shiori Izawa', 'Japanese', 'Jirou Ogasawara', 'Supporting', 'Yuuki Ono', 'Japanese', 'Taiga Hirano', 'Supporting', 'Yoshitsugu Matsuoka', 'Japanese', 'Akira Kagiura', 'Supporting', 'Nobunaga Shimazaki', 'Japanese']","['Shou Harusono', 'Original Creator', 'Shinji Ishihira', 'Director', 'Soudai Ueno', 'Assistant Director', 'Yoshiko Nakamura', 'Series Composition']","['Completed', '18705 Users', 'Planning', '15225 Users', 'Current', '5743 Users', 'Dropped', '1481 Users']",[],,
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,"['Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2', 'The second part of Genjitsu Shugi Yuusha no Oukoku Saikenki.', '', 'Summoned to a fantasy world, Kazuya Souma is ruling a kingdom with a nontraditional (and very human) route of administrative reform. He’s tackling food shortages, mastering dark magic, and dazzling a few ladies along the way. Despite his latest good intentions, Kazuya breaks the ban on war to defeat a military dictatorship. Now, he must answer to the Gran Chaos Empire’s idealistic leader…uh oh.', '', '(Source: Funimation)']","['#52 Highest Rated 2022', '#49 Most Popular 2022']",['TV'],['13'],['24 mins'],['Finished'],['Winter 2022'],['74%'],['74%'],['41302'],['891'],['J.C. Staff'],"['King Records', 'MIGHTY MEDIA', 'OVERLAP', 'WOWMAX', 'Klock Worx']",['Light Novel'],['#現国アニメ'],"['Action', 'Adventure', 'Fantasy', 'Romance']",['Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2'],['How a Realist Hero Rebuilt the Kingdom Part 2'],['現実主義勇者の王国再建記 第二部'],"['ยุทธศาสตร์กู้ชาติของราชามือใหม่ พาร์ท 2', 'Genkoku Part 2', 'Genjitsu Shugi Yuusha no Oukoku Saikenki (2022)']","['Isekai', '93%', 'Politics', '86%', 'Male Protagonist', '80%', 'Economics', '77%', 'Female Harem', '71%', 'Heterosexual', '64%', 'Agriculture', '43%', 'Magic', '26%', 'Tsundere', '20%', 'Show 4 spoiler tags']","['Official Site JP', 'Twitter JP', 'Bilibili TV', 'Crunchyroll', 'Funimation', 'Hulu', 'iQ', '', '', '', '']","['Source', 'Genjitsu Shugi Yuusha no Oukoku Saikenki', 'Light Novel · Releasing', 'Prequel', 'Genjitsu Shugi Yuusha no Oukoku Saikenki', 'TV · Finished', 'Alternative', 'Genjitsu Shugi Yuusha no Oukoku Saikenki', 'Manga · Releasing']","['Kazuya Souma', 'Main', 'Yuusuke Kobayashi', 'Japanese', 'Liscia Elfrieden', 'Main', 'Inori Minase', 'Japanese', 'Aisha Udgard', 'Supporting', 'Ikumi Hasegawa', 'Japanese', 'Hakuya Kwonmin', 'Supporting', 'Kazuyuki Okitsu', 'Japanese', 'Juna Doma', 'Supporting', 'Reina Ueda', 'Japanese', 'Tomoe Inui', 'Supporting', 'Moe Kahara', 'Japanese']","['Dozeumaru', 'Original Story', 'Fuyuyuki', 'Original Character Design', 'Takashi Watanabe', 'Director', 'Mai Ootsuka', 'Character Design']","['Completed', '24793 Users', 'Planning', '9727 Users', 'Current', '4735 Users', 'Dropped', '1122 Users']",[],,
